car_speed,ray_dist_0,ray_type_0,ray_dist_1,ray_type_1,ray_dist_2,ray_type_2,ray_dist_3,ray_type_3,ray_dist_4,ray_type_4,ray_dist_5,ray_type_5,ray_dist_6,ray_type_6,ray_dist_7,ray_type_7,ray_dist_8,ray_type_8,ray_dist_9,ray_type_9,ray_dist_10,ray_type_10,ray_dist_11,ray_type_11,ray_dist_12,ray_type_12,ray_dist_13,ray_type_13,ray_dist_14,ray_type_14,ray_dist_15,ray_type_15,ray_dist_16,ray_type_16,ray_dist_17,ray_type_17,ray_dist_18,ray_type_18,ray_dist_19,ray_type_19,accelerate,brake,steer_left,steer_right
4.43375,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,307.441,0,621.378,0,150.955,0,131.51,0,129.856,0,142.474,0,202.073,0,177.7,0,228.446,0,238.039,0,227.135,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.51158,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,302.93,0,615.665,0,149.228,0,128.438,0,125.905,0,136.379,0,202.073,0,177.7,0,228.446,0,242.841,0,231.716,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.58902,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,298.341,0,609.984,0,147.768,0,125.412,0,122.023,0,130.614,0,202.073,0,177.7,0,228.446,0,247.724,0,236.376,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.66608,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,293.675,0,604.315,0,146.689,0,122.444,0,118.216,0,125.131,0,202.073,0,177.7,0,228.446,0,252.689,0,241.113,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.74274,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,288.932,0,598.648,0,146.194,0,119.545,0,114.489,0,119.899,0,148.489,0,177.7,0,228.446,0,257.737,0,245.929,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.81903,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,284.113,0,592.972,0,146.73,0,116.729,0,110.848,0,114.896,0,136.102,0,177.7,0,228.446,0,262.865,0,250.823,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.89494,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,279.218,0,587.284,0,149.883,0,114.012,0,107.301,0,110.106,0,126.625,0,177.7,0,228.446,0,268.074,0,255.793,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.97046,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,274.247,0,581.575,0,511.666,0,111.415,0,103.857,0,105.52,0,118.592,0,177.7,0,228.446,0,273.364,0,260.84,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
5.04561,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,269.202,0,303.482,0,511.666,0,108.96,0,100.527,0,101.131,0,111.496,0,177.7,0,228.446,0,278.733,0,265.964,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
5.12038,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,264.081,0,293.987,0,511.666,0,106.68,0,97.3224,0,96.9367,0,105.09,0,177.7,0,228.446,0,284.182,0,271.163,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
